Timestamp(ms),Current(uA),D0-D7
726,14197.667,00000000
726.01,14197.667,00000000
726.02,14197.667,00000000
726.03,14055.726,00000000
726.04,14103.027,00000000
726.05,13772.175,00000000
726.06,14055.726,00000000
726.07,13866.643,00000000
726.08,14008.437,00000000
726.09,14103.027,00000000
726.1,14245.006,00000000
726.11,14387.095,00000000
726.12,14103.027,00000000
726.13,14197.667,00000000
726.14,14245.006,00000000
726.15,14339.720,00000000
726.16,14245.006,00000000
726.17,14055.726,00000000
726.18,13961.159,00000000
726.19,14103.027,00000000
726.2,14150.341,00000000
726.21,14150.341,00000000
726.22,14150.341,00000000
726.23,13913.895,00000000
726.24,13961.159,00000000
726.25,14150.341,00000000
726.26,14197.667,00000000
726.27,14434.482,00000000
726.28,14150.341,00000000
726.29,14339.720,00000000
726.3,13913.895,00000000
726.31,14055.726,00000000
726.32,14103.027,00000000
726.33,14150.341,00000000
726.34,14150.341,00000000
726.35,14055.726,00000000
726.36,14245.006,00000000
726.37,14292.356,00000000
726.38,14150.341,00000000
726.39,14150.341,00000000
726.4,14245.006,00000000
726.41,14292.356,00000000
726.42,14529.294,00000000
726.43,14292.356,00000000
726.44,14008.437,00000000
726.45,13913.895,00000000
726.46,13819.402,00000000
726.47,14150.341,00000000
726.48,14150.341,00000000
726.49,14150.341,00000000
726.5,14103.027,00000000
726.51,14245.006,00000000
726.52,14150.341,00000000
726.53,14245.006,00000000
726.54,14103.027,00000000
726.55,14197.667,00000000
726.56,14434.482,00000000
726.57,14434.482,00000000
726.58,14150.341,00000000
726.59,13913.895,00000000
726.6,13961.159,00000000
726.61,14339.720,00000000
726.62,14103.027,00000000
726.63,14197.667,00000000
726.64,14150.341,00000000
726.65,14197.667,00000000
726.66,14245.006,00000000
726.67,14245.006,00000000
726.68,14150.341,00000000
726.69,14103.027,00000000
726.7,14103.027,00000000
726.71,14055.726,00000000
726.72,14150.341,00000000
726.73,14245.006,00000000
726.74,14245.006,00000000
726.75,14197.667,00000000
726.76,14150.341,00000000
726.77,14197.667,00000000
726.78,14008.437,00000000
726.79,14197.667,00000000
726.8,14008.437,00000000
726.81,14197.667,00000000
726.82,14103.027,00000000
726.83,14197.667,00000000
726.84,14150.341,00000000
726.85,14055.726,00000000
726.86,14103.027,00000000
726.87,14103.027,00000000
726.88,13866.643,00000000
726.89,13913.895,00000000
726.9,14150.341,00000000
726.91,14245.006,00000000
726.92,14245.006,00000000
726.93,14292.356,00000000
726.94,14339.720,00000000
726.95,14197.667,00000000
726.96,14245.006,00000000
726.97,14292.356,00000000
726.98,14008.437,00000000
726.99,13913.895,00000000
727,14008.437,00000000
727.01,14197.667,00000000
727.02,14481.882,00000000
727.03,14529.294,00000000
727.04,14055.726,00000000
727.05,13772.175,00000000
727.06,14103.027,00000000
727.07,14292.356,00000000
727.08,14339.720,00000000
727.09,14245.006,00000000
727.1,14008.437,00000000
727.11,14245.006,00000000
727.12,14197.667,00000000
727.13,14339.720,00000000
727.14,14197.667,00000000
727.15,14008.437,00000000
727.16,14150.341,00000000
